ID,label
0,1
1,3
2,8
3,7
4,9
5,4
6,7
7,3
8,4
9,1
10,4
11,7
12,7
13,1
14,9
15,5
16,8
17,8
18,2
19,6
20,9
21,4
22,5
23,9
24,8
25,9
26,0
27,8
28,0
29,9
30,0
31,0
32,1
33,9
34,6
35,3
36,0
37,1
38,3
39,9
40,3
41,1
42,4
43,1
44,9
45,7
46,0
47,3
48,5
49,8
50,8
51,2
52,4
53,2
54,8
55,6
56,4
57,6
58,5
59,6
60,3
61,3
62,3
63,4
64,9
65,8
66,8
67,3
68,0
69,9
70,3
71,1
72,9
73,9
74,1
75,1
76,7
77,2
78,1
79,8
80,1
81,7
82,2
83,2
84,2
85,7
86,9
87,7
88,0
89,7
90,2
91,8
92,8
93,9
94,1
95,6
96,2
97,8
98,7
99,8
100,2
101,7
102,2
103,1
104,3
105,6
106,6
107,2
108,0
109,3
110,1
111,6
112,1
113,6
114,3
115,2
116,2
117,3
118,6
119,5
120,9
121,2
122,3
123,5
124,9
125,5
126,6
127,5
128,6
129,5
130,5
131,8
132,7
133,5
134,5
135,2
136,2
137,0
138,8
139,1
140,2
141,7
142,8
143,4
144,0
145,8
146,9
147,5
148,2
149,9
150,3
151,3
152,6
153,2
154,1
155,4
156,5
157,6
158,5
159,1
160,5
161,2
162,4
163,6
164,9
165,4
166,8
167,5
168,9
169,2
170,2
171,5
172,2
173,3
174,6
175,6
176,8
177,5
178,1
179,8
180,1
181,3
182,2
183,7
184,7
185,3
186,9
187,2
188,6
189,0
190,2
191,7
192,8
193,6
194,7
195,7
196,3
197,6
198,2
199,9
200,6
201,2
202,5
203,2
204,5
205,5
206,9
207,7
208,4
209,0
210,4
211,3
212,3
213,5
214,4
215,0
216,1
217,4
218,6
219,1
220,5
221,8
222,5
223,5
224,1
225,2
226,7
227,4
228,5
229,6
230,1
231,1
232,6
233,2
234,7
235,2
236,6
237,1
238,8
239,9
240,9
241,2
242,9
243,7
244,0
245,4
246,1
247,7
248,3
249,5
250,5
251,8
252,9
253,8
254,1
255,5
256,1
257,4
258,0
259,0
260,7
261,8
262,8
263,4
264,0
265,3
266,0
267,1
268,7
269,5
270,8
271,3
272,3
273,5
274,6
275,9
276,8
277,2
278,0
279,4
280,0
281,1
282,9
283,1
284,1
285,4
286,8
287,4
288,5
289,2
290,9
291,0
292,3
293,6
294,5
295,7
296,4
297,9
298,5
299,7
300,7
301,2
302,1
303,0
304,8
305,7
306,6
307,2
308,1
309,8
310,1
311,9
312,7
313,7
314,2
315,0
316,9
317,7
318,6
319,6
320,0
321,0
322,3
323,7
324,0
325,6
326,0
327,3
328,8
329,0
330,4
331,6
332,4
333,2
334,5
335,9
336,4
337,5
338,3
339,6
340,2
341,7
342,6
343,2
344,7
345,4
346,6
347,1
348,2
349,1
350,7
351,5
352,9
353,1
354,7
355,8
356,6
357,0
358,8
359,5
360,9
361,8
362,6
363,4
364,3
365,4
366,5
367,7
368,5
369,3
370,6
371,0
372,7
373,4
374,0
375,7
376,1
377,9
378,3
379,6
380,7
381,7
382,0
383,1
384,9
385,1
386,7
387,9
388,3
389,3
390,2
391,9
392,7
393,6
394,3
395,8
396,6
397,6
398,1
399,0
400,4
401,8
402,0
403,0
404,7
405,0
406,1
407,5
408,6
409,6
410,6
411,4
412,1
413,0
414,3
415,2
416,5
417,9
418,1
419,9
420,2
421,3
422,4
423,1
424,8
425,2
426,5
427,8
428,9
429,2
430,4
431,1
432,1
433,7
434,2
435,6
436,3
437,0
438,5
439,0
440,7
441,8
442,0
443,2
444,4
445,1
446,3
447,5
448,3
449,5
450,8
451,0
452,1
453,6
454,8
455,5
456,3
457,5
458,2
459,6
460,8
461,9
462,7
463,7
464,3
465,3
466,3
467,7
468,2
469,2
470,4
471,4
472,4
473,8
474,9
475,8
476,1
477,0
478,6
479,4
480,8
481,1
482,8
483,8
484,4
485,2
486,7
487,4
488,6
489,2
490,5
491,3
492,4
493,4
494,0
495,0
496,9
497,6
498,0
499,3
500,5
501,3
502,7
503,4
504,2
505,6
506,2
507,5
508,5
509,7
510,6
511,0
512,6
513,0
514,5
515,7
516,9
517,1
518,6
519,0
520,5
521,3
522,2
523,2
524,2
525,5
526,2
527,6
528,3
529,6
530,5
531,8
532,2
533,3
534,6
535,3
536,6
537,1
538,3
539,6
540,0
541,7
542,8
543,1
544,1
545,9
546,5
547,5
548,8
549,8
550,7
551,2
552,3
553,9
554,4
555,9
556,6
557,1
558,1
559,1
560,1
561,2
562,1
563,6
564,1
565,7
566,0
567,1
568,0
569,2
570,2
571,9
572,3
573,9
574,7
575,2
576,9
577,3
578,0
579,5
580,2
581,9
582,8
583,7
584,5
585,9
586,8
587,3
588,4
589,6
590,3
591,8
592,3
593,9
594,3
595,8
596,4
597,5
598,3
599,8
600,3
601,4
602,7
603,0
604,6
605,7
606,1
607,8
608,5
609,2
610,3
611,0
612,9
613,1
614,3
615,9
616,0
617,9
618,2
619,2
620,5
621,1
622,1
623,6
624,7
625,0
626,5
627,2
628,4
629,7
630,8
631,0
632,5
633,4
634,9
635,9
636,5
637,4
638,5
639,0
640,0
641,2
642,2
643,8
644,4
645,7
646,0
647,0
648,6
649,8
650,7
651,7
652,1
653,8
654,7
655,0
656,7
657,4
658,2
659,1
660,1
661,2
662,1
663,2
664,9
665,5
666,1
667,0
668,6
669,3
670,8
671,2
672,7
673,7
674,5
675,0
676,1
677,6
678,4
679,6
680,2
681,0
682,6
683,4
684,8
685,0
686,0
687,1
688,0
689,4
690,9
691,5
692,5
693,1
694,8
695,8
696,8
697,5
698,2
699,4
700,0
701,7
702,3
703,7
704,5
705,4
706,6
707,3
708,2
709,7
710,2
711,2
712,8
713,3
714,3
715,5
716,5
717,7
718,2
719,5
720,6
721,7
722,6
723,8
724,7
725,4
726,4
727,5
728,5
729,1
730,8
731,7
732,4
733,7
734,1
735,3
736,1
737,7
738,0
739,1
740,3
741,5
742,0
743,7
744,5
745,6
746,2
747,9
748,2
749,2
750,9
751,4
752,8
753,4
754,8
755,9
756,4
757,6
758,2
759,6
760,4
761,0
762,2
763,0
764,0
765,1
766,4
767,1
768,4
769,2
770,1
771,7
772,1
773,7
774,7
775,2
776,7
777,1
778,3
779,4
780,4
781,3
782,7
783,6
784,5
785,5
786,8
787,9
788,9
789,6
790,5
791,5
792,2
793,5
794,3
795,3
796,1
797,2
798,4
799,6
800,7
801,9
802,6
803,7
804,1
805,8
806,7
807,4
808,0
809,2
810,8
811,7
812,6
813,6
814,7
815,3
816,0
817,0
818,5
819,1
820,9
821,3
822,0
823,7
824,9
825,4
826,1
827,5
828,3
829,0
830,0
831,7
832,3
833,5
834,8
835,8
836,4
837,9
838,0
839,6
840,9
841,7
842,3
843,9
844,7
845,1
846,1
847,1
848,8
849,7
850,0
851,1
852,9
853,6
854,2
855,8
856,8
857,0
858,0
859,8
860,1
861,8
862,3
863,0
864,5
865,9
866,4
867,8
868,2
869,5
870,0
871,6
872,4
873,3
874,2
875,7
876,4
877,9
878,4
879,6
880,9
881,7
882,9
883,0
884,7
885,6
886,7
887,7
888,3
889,7
890,4
891,2
892,4
893,2
894,0
895,4
896,3
897,8
898,1
899,5
900,5
901,9
902,9
903,7
904,3
905,6
906,5
907,2
908,5
909,4
910,6
911,1
912,1
913,4
914,5
915,5
916,0
917,9
918,0
919,7
920,2
921,6
922,5
923,0
924,8
925,4
926,5
927,8
928,4
929,0
930,6
931,8
932,7
933,2
934,8
935,6
936,2
937,4
938,0
939,0
940,3
941,0
942,2
943,7
944,4
945,3
946,4
947,1
948,2
949,0
950,5
951,2
952,7
953,3
954,5
955,0
956,2
957,9
958,2
959,1
960,1
961,3
962,3
963,3
964,3
965,1
966,8
967,6
968,8
969,6
970,7
971,0
972,1
973,9
974,2
975,3
976,5
977,8
978,7
979,6
980,6
981,1
982,9
983,5
984,0
985,7
986,4
987,9
988,9
989,1
990,1
991,0
992,2
993,8
994,4
995,2
996,6
997,7
998,1
999,8
1000,2
1001,2
1002,0
1003,4
1004,4
1005,5
1006,7
1007,8
1008,3
1009,1
1010,1
1011,2
1012,0
1013,7
1014,5
1015,2
1016,0
1017,7
1018,1
1019,8
1020,5
1021,5
1022,1
1023,6
1024,5
1025,4
1026,0
1027,0
1028,0
1029,2
1030,9
1031,8
1032,9
1033,2
1034,8
1035,1
1036,2
1037,2
1038,4
1039,7
1040,8
1041,1
1042,7
1043,0
1044,9
1045,0
1046,8
1047,2
1048,2
1049,0
1050,8
1051,6
1052,7
1053,3
1054,4
1055,3
1056,2
1057,0
1058,9
1059,0
1060,0
1061,9
1062,2
1063,6
1064,7
1065,8
1066,3
1067,8
1068,3
1069,0
1070,1
1071,7
1072,0
1073,4
1074,7
1075,6
1076,3
1077,2
1078,5
1079,5
1080,9
1081,1
1082,3
1083,3
1084,8
1085,4
1086,9
1087,6
1088,1
1089,6
1090,9
1091,8
1092,0
1093,9
1094,9
1095,8
1096,6
1097,6
1098,3
1099,4
1100,1
1101,7
1102,2
1103,0
1104,5
1105,8
1106,4
1107,4
1108,5
1109,6
1110,8
1111,2
1112,2
1113,4
1114,9
1115,4
1116,5
1117,1
1118,8
1119,1
1120,6
1121,0
1122,7
1123,1
1124,0
1125,5
1126,6
1127,2
1128,4
1129,5
1130,9
1131,6
1132,9
1133,0
1134,4
1135,6
1136,1
1137,7
1138,0
1139,1
1140,3
1141,3
1142,6
1143,4
1144,4
1145,3
1146,6
1147,6
1148,3
1149,4
1150,1
1151,2
1152,7
1153,1
1154,9
1155,5
1156,3
1157,7
1158,7
1159,4
1160,5
1161,9
1162,3
1163,6
1164,2
1165,9
1166,5
1167,6
1168,8
1169,2
1170,6
1171,2
1172,4
1173,3
1174,9
1175,0
1176,3
1177,9
1178,2
1179,7
1180,8
1181,6
1182,6
1183,2
1184,2
1185,9
1186,1
1187,1
1188,6
1189,1
1190,4
1191,8
1192,4
1193,5
1194,5
1195,9
1196,3
1197,1
1198,2
1199,1
1200,5
1201,8
1202,4
1203,1
1204,8
1205,6
1206,7
1207,4
1208,1
1209,2
1210,8
1211,2
1212,0
1213,1
1214,8
1215,7
1216,0
1217,5
1218,0
1219,5
1220,1
1221,0
1222,9
1223,6
1224,7
1225,9
1226,3
1227,3
1228,4
1229,4
1230,6
1231,5
1232,0
1233,8
1234,2
1235,7
1236,5
1237,3
1238,5
1239,4
1240,8
1241,5
1242,5
1243,9
1244,1
1245,5
1246,1
1247,0
1248,4
1249,0
1250,6
1251,9
1252,9
1253,2
1254,8
1255,6
1256,6
1257,5
